 anno | cedola | ordini | colli | copie | righe  | titoli | linee |  f1  |  f2  |  f3  |  ff  | fp  |  fc  
 2014 |   1102 |    861 |  1680 |  1530 |  11628 |      3 |    29 |  200 |  285 |  448 |  722 |  25 |     
 2014 |   1201 |    598 |   762 |  8811 |  31010 |     17 |    35 |  255 |  332 |  149 |      |  26 |     
 2014 |   1401 |    388 |   397 |  5380 |  12063 |     16 |    36 |   32 |  177 |  164 |      |  24 |     
 2014 |   1402 |      1 |     1 |     5 |     14 |      5 |     1 |      |      |    1 |      |     |     
 2014 |   1601 |    318 |   320 |  3629 |   7628 |     13 |    37 |    6 |   62 |  230 |      |  22 |     
 2014 |   1701 |   1218 |  2946 |  2654 |  31007 |     15 |    41 |   20 |    4 |    3 | 2858 |  61 |     
 2014 |   1901 |    400 |   413 |  5052 |  13360 |     14 |    35 |   34 |  171 |  183 |      |  25 |     
 2014 |   1902 |      8 |     8 |     9 |     88 |      4 |     2 |      |    1 |    7 |      |     |     
 2014 |   2001 |    615 |   615 |  1281 |   1281 |     14 |     3 |      |      |  615 |      |     |     
 2014 |   2002 |    400 |   421 |  4825 |  10459 |     14 |    35 |   67 |  294 |   33 |      |  27 |     
 2014 |   2101 |      2 |     2 |     5 |    910 |      5 |     2 |      |    1 |      |      |   1 |     
 2014 |   2201 |   1306 |  1658 |  2572 |  25384 |      3 |    43 |  125 |  497 |  707 |  290 |  39 |     
 2014 |   2202 |    274 |   279 |  4003 |   7077 |     17 |    32 |   16 |  194 |   51 |      |  18 |     
 2014 |   2401 |    371 |   376 |  4257 |   7743 |     13 |    34 |   21 |  242 |   90 |      |  23 |     
 2014 |   2601 |    219 |   222 |  3254 |   5651 |     17 |    32 |   15 |  136 |   55 |      |  16 |     
 2014 |   2801 |    339 |   353 |  4274 |   9334 |     16 |    36 |   60 |  197 |   70 |      |  26 |     
 2014 |   2802 |    431 |   627 |  1135 |  36117 |      3 |    37 |  322 |  217 |   65 |      |  23 |     
